file,page,text,font_size,is_bold,x0,y0,color,is_italic,casing,text_length,is_underline,font_family,stopword_ratio
CZOP2ITFIK5GAH4SD3GJI755X7QFUHM3.pdf,0,Department of Veterans Affairs,12.0,True,72.0,36.46784973144531,#000000,False,mixed,30,True,TimesNewRomanPS-BoldMT,0.25
CZOP2ITFIK5GAH4SD3GJI755X7QFUHM3.pdf,0,VHA DIRECTIVE  1605,12.0,True,406.80914306640625,36.46784973144531,#000000,False,mixed,19,True,TimesNewRomanPS-BoldMT,0.0
CZOP2ITFIK5GAH4SD3GJI755X7QFUHM3.pdf,0,Veterans Health Administration,12.0,True,72.0,50.26777648925781,#000000,False,capitalized,30,True,TimesNewRomanPS-BoldMT,0.0
CZOP2ITFIK5GAH4SD3GJI755X7QFUHM3.pdf,0,Transmittal Sheet,12.0,True,442.2906494140625,50.26777648925781,#000000,False,capitalized,17,True,TimesNewRomanPS-BoldMT,0.0
CZOP2ITFIK5GAH4SD3GJI755X7QFUHM3.pdf,0,"Washington, DC  20420",12.0,True,72.0,64.06770324707031,#000000,False,mixed,21,True,TimesNewRomanPS-BoldMT,0.0
CZOP2ITFIK5GAH4SD3GJI755X7QFUHM3.pdf,0,"March 17, 2005",12.0,True,454.9209289550781,64.06770324707031,#000000,False,sentence,14,True,TimesNewRomanPS-BoldMT,0.0
CZOP2ITFIK5GAH4SD3GJI755X7QFUHM3.pdf,0,VHA PRIVACY PROGRAM,12.0,True,230.340087890625,91.66773986816406,#000000,False,all_caps,19,True,TimesNewRomanPS-BoldMT,0.0
CZOP2ITFIK5GAH4SD3GJI755X7QFUHM3.pdf,0,1.  REASON FOR ISSUE.  This Veterans Health Administration (VHA) Directive establishes,12.0,True,72.0,119.14765930175781,#000000,False,mixed,86,True,TimesNewRomanPS-BoldMT,0.18181818181818182
CZOP2ITFIK5GAH4SD3GJI755X7QFUHM3.pdf,0,"a VHA-wide program for the protection of the privacy of veterans, their dependents, and",12.0,False,72.0,132.9475860595703,#000000,False,mixed,87,True,TimesNewRomanPSMT,0.5333333333333333
CZOP2ITFIK5GAH4SD3GJI755X7QFUHM3.pdf,0,"beneficiaries in accordance with Federal privacy statutes and regulations, as well as establishes",12.0,False,72.0,146.7475128173828,#000000,False,mixed,97,True,TimesNewRomanPSMT,0.38461538461538464
