file,page,text,font_size,is_bold,x0,y0,color,is_italic,casing,text_length,is_underline,font_family,stopword_ratio,label
file 10.pdf,0,USDA is an equal opportunity provider and employer,8.039999961853027,True,218.08999633789062,960.8763427734375,#000000,True,sentence,50,True,"Times New Roman,BoldItalic",0.375,body
file 10.pdf,0,Arkansas Chick Placements Up 4 Percent from Last Year,12.0,True,158.3000030517578,125.88801574707031,#000000,False,mixed,53,True,"Times New Roman,Bold",0.2222222222222222,H1
file 10.pdf,0,Broiler-type chicks placed for meat production in Arkansas were 19.6 million during the week ending,11.039999961853027,False,36.0,144.26333618164062,#000000,False,mixed,99,True,Times New Roman,0.29411764705882354,body
file 10.pdf,0,"January 30, 2016.  Placements were up 4 percent from the comparable week in 2015 but down 5 percent from the previous",11.039999961853027,False,36.0,156.98336791992188,#000000,False,mixed,117,True,Times New Roman,0.42857142857142855,body
file 10.pdf,0,week.,11.039999961853027,False,36.0,169.58334350585938,#000000,False,mixed,5,True,Times New Roman,0.0,body
file 10.pdf,0,"Arkansas hatcheries set 21.8 million broiler-type eggs during the week ending January 30, 2016, down 2 percent from the",11.039999961853027,False,36.0,186.86337280273438,#000000,False,mixed,119,True,Times New Roman,0.23809523809523808,body
file 10.pdf,0,same period last year and down slightly from the previous week.,11.039999961853027,False,36.0,199.46334838867188,#000000,False,mixed,63,True,Times New Roman,0.45454545454545453,body
file 10.pdf,0,17,7.620095729827881,True,66.49539184570312,350.10797119140625,#000000,False,mixed,2,False,"Arial,Bold",0.0,body
file 10.pdf,0,18,7.620095729827881,True,66.49539184570312,332.2398681640625,#000000,False,mixed,2,False,"Arial,Bold",0.0,body
file 10.pdf,0,19,7.6288347244262695,True,66.49539184570312,314.3670654296875,#000000,False,mixed,2,False,"Arial,Bold",0.0,body
file 10.pdf,0,20,7.6288347244262695,True,66.49539184570312,296.4986267089844,#000000,False,mixed,2,False,"Arial,Bold",0.0,body
file 10.pdf,0,21,7.6288347244262695,True,66.49539184570312,278.63372802734375,#000000,False,mixed,2,False,"Arial,Bold",0.0,body
file 10.pdf,0,22,7.6288347244262695,True,66.49539184570312,260.7652893066406,#000000,False,mixed,2,False,"Arial,Bold",0.0,body
file 10.pdf,0,23,7.6288347244262695,True,66.49539184570312,242.900390625,#000000,False,mixed,2,False,"Arial,Bold",0.0,body
file 10.pdf,0,Jan Feb Mar,7.357936382293701,True,75.0960693359375,356.87152099609375,#000000,False,capitalized,11,False,"Arial,Bold",0.0,body
file 10.pdf,0,Apr May,7.357936382293701,True,125.73868560791016,356.87152099609375,#000000,False,capitalized,7,False,"Arial,Bold",0.0,body
